client_ref,order_id,duration,deadline,known_difficult,created_on,last_modified_on,created_on_time,deadline_period,order_weekday,order_hours
50c9406377-439c4132e6a4-1604008101322210795,NA,304.09000000000015,1604036912,0,1604008184,1604008184,2020-10-29T21:49:44Z,8,Thu,21
50c9406377-439c4132e6a4-1604008094226831081,NA,300.3799999999992,1604036912,0,1604008183,1604008183,2020-10-29T21:49:43Z,8,Thu,21
50c9406377-439c4132e6a4-1604008094226828369,NA,300.7900000000009,1604036912,0,1604008182,1604008182,2020-10-29T21:49:42Z,8,Thu,21
50c9406377-439c4132e6a4-1604008094226824197,NA,298.3199999999997,1604036912,0,1604008181,1604008181,2020-10-29T21:49:41Z,8,Thu,21
50c9406377-439c4132e6a4-1604008094226821369,NA,301.2600000000002,1604036912,0,1604008180,1604008180,2020-10-29T21:49:40Z,8,Thu,21
50c9406377-439c4132e6a4-1604008094226817882,NA,302.25,1604036912,0,1604008179,1604008179,2020-10-29T21:49:39Z,8,Thu,21
50c9406377-439c4132e6a4-1604008094226814449,NA,301.46999999999935,1604036912,0,1604008178,1604008178,2020-10-29T21:49:38Z,8,Thu,21
50c9406377-439c4132e6a4-1604008094226811256,NA,296.2000000000007,1604036912,0,1604008177,1604008177,2020-10-29T21:49:37Z,8,Thu,21
50c9406377-439c4132e6a4-1604008094226803875,NA,299.52000000000044,1604036912,0,1604008176,1604008176,2020-10-29T21:49:36Z,8,Thu,21
50c9406377-439c4132e6a4-1604008094226799592,NA,300.78999999999905,1604036912,0,1604008175,1604008175,2020-10-29T21:49:35Z,8,Thu,21
50c9406377-439c4132e6a4-1604008094226796308,NA,297.72999999999956,1604036912,0,1604008174,1604008174,2020-10-29T21:49:34Z,8,Thu,21
50c9406377-439c4132e6a4-1604008094226792533,NA,296.83000000000175,1604036912,0,1604008172,1604008172,2020-10-29T21:49:32Z,8,Thu,21
50c9406377-439c4132e6a4-1604008094226789162,NA,302.27999999999884,1604036912,0,1604008170,1604008170,2020-10-29T21:49:30Z,8,Thu,21
50c9406377-439c4132e6a4-1604008094226786114,NA,304.9200000000001,1604036912,0,1604008168,1604008168,2020-10-29T21:49:28Z,8,Thu,21
50c9406377-439c4132e6a4-1604008094226782735,NA,302.59000000000015,1604036912,0,1604008165,1604008165,2020-10-29T21:49:25Z,8,Thu,21
50c9406377-439c4132e6a4-1604008094226779438,NA,302.6299999999992,1604036912,0,1604008163,1604008163,2020-10-29T21:49:23Z,8,Thu,21
50c9406377-439c4132e6a4-1604008094226775687,NA,295.90000000000146,1604036912,0,1604008161,1604008161,2020-10-29T21:49:21Z,8,Thu,21
50c9406377-439c4132e6a4-1604008094226772158,NA,295.84999999999854,1604036912,0,1604008159,1604008159,2020-10-29T21:49:19Z,8,Thu,21
50c9406377-439c4132e6a4-1604008094226769032,NA,303.130000000001,1604036912,0,1604008157,1604008157,2020-10-29T21:49:17Z,8,Thu,21
