"client_ref","order_id","duration","deadline","known_difficult","created_on","last_modified_on"
"9483540f91-e3e12a6d-1608253330638950895",,285.06999999999994,1608300130,0,1608253331,1608253331
"9483540f91-e3e12a6d-1608253299609095646",,296.27000000000044,1608300102,0,1608253303,1608253303
"9483540f91-e3e12a6d-1608253287411588605",,313.09000000000015,1608300088,0,1608253289,1608253289
"9483540f91-e3e12a6d-1608253285762033131",,287.1700000000001,1608300086,0,1608253287,1608253287
"9483540f91-e3e12a6d-1608253277113704581",,293.8499999999999,1608300077,0,1608253278,1608253278
"9483540f91-e3e12a6d-1608253267784628952",,299.6300000000001,1608300068,0,1608253269,1608253269
"9483540f91-e3e12a6d-1608253268097690637",,303.755,1608300068,0,1608253269,1608253269
"9483540f91-e3e12a6d-1608253254889430458",,317.7599999999984,1608300055,0,1608253256,1608253256
"9483540f91-e3e12a6d-1608253254202604988",,302.84000000000015,1608300054,0,1608253255,1608253255
"9483540f91-e3e12a6d-1608253252795552031",,285.35000000000036,1608300053,0,1608253254,1608253254
"9483540f91-e3e12a6d-1608253244036462836",,361.1700000000001,1608300044,0,1608253246,1608253246
"9483540f91-e3e12a6d-1608253242975167818",,300.90000000000055,1608300044,0,1608253245,1608253245
"6d8d0a3f68-53db90dd-1608253234381594966",,306.5,1608300034,0,1608253236,1608253236
"9483540f91-e3e12a6d-1608253190485815349",,77.55999999999995,1608300019,0,1608253220,1608253220
"9483540f91-e3e12a6d-1608253215385716705",,306.0699999999997,1608300015,0,1608253216,1608253216
"9483540f91-e3e12a6d-1608253210571227652",,297.28999999999996,1608300013,0,1608253214,1608253214
"6d8d0a3f68-53db90dd-1608253207475823367",,301.27999999999884,1608300010,0,1608253211,1608253211
"6d8d0a3f68-53db90dd-1608253209237017774",,256.5,1608300009,0,1608253210,1608253210
"9483540f91-e3e12a6d-1608253206556513625",,283.9300000000003,1608300006,0,1608253208,1608253208
"9483540f91-e3e12a6d-1608253207527510873",,311.32000000000016,1608300007,0,1608253208,1608253208
"9483540f91-e3e12a6d-1608253205871342155",,329.2400000000007,1608300006,0,1608253207,1608253207
"9483540f91-e3e12a6d-1608253198639165952",,167.85000000000036,1608300000,0,1608253201,1608253201
"6d8d0a3f68-53db90dd-1608253192708628351",,296.64999999999964,1608299993,0,1608253194,1608253194
"6d8d0a3f68-53db90dd-1608253172623817401",,308.8599999999997,1608299973,0,1608253175,1608253175
"9483540f91-e3e12a6d-1608253170156100987",,278.96000000000004,1608299971,0,1608253172,1608253172
"9483540f91-e3e12a6d-1608253159734318777",,318.15999999999985,1608299961,0,1608253162,1608253162
"9483540f91-e3e12a6d-1608253159075870837",,309.3599999999999,1608299960,0,1608253161,1608253161
"6d8d0a3f68-53db90dd-1608253156193006067",,314.735,1608299956,0,1608253157,1608253157
"9483540f91-e3e12a6d-1608253151987679386",,355.7999999999997,1608299952,0,1608253153,1608253153
"9483540f91-e3e12a6d-1608253148731592842",,297.44000000000005,1608299948,0,1608253150,1608253150
"9483540f91-e3e12a6d-1608253149294723438",,291.16999999999985,1608299949,0,1608253150,1608253150
"6d8d0a3f68-53db90dd-1608253148054108451",,301.5,1608299948,0,1608253149,1608253149
"9483540f91-e3e12a6d-1608253135727100673",,318.3900000000001,1608299937,0,1608253138,1608253138
"6d8d0a3f68-53db90dd-1608253126733977498",,318.1500000000001,1608299931,0,1608253132,1608253132
"6d8d0a3f68-53db90dd-1608253124804684543",,105.31999999999971,1608299926,0,1608253127,1608253127
"9483540f91-e3e12a6d-1608253123594507361",,290.15999999999985,1608299924,0,1608253125,1608253125
"6d8d0a3f68-53db90dd-1608253123813034133",,305.5100000000002,1608299924,0,1608253125,1608253125
"6d8d0a3f68-53db90dd-1608253120831314385",,278.4000000000001,1608299921,0,1608253122,1608253122
"6d8d0a3f68-53db90dd-1608253121494111703",,231.64999999999964,1608299921,0,1608253122,1608253122
"6d8d0a3f68-53db90dd-1608253116693086525",,319.92999999999984,1608299918,0,1608253119,1608253119
"9483540f91-e3e12a6d-1608253116236995868",,320.4499999999998,1608299916,0,1608253117,1608253117
"6d8d0a3f68-53db90dd-1608253105282093277",,301.8600000000006,1608299906,0,1608253107,1608253107
"6d8d0a3f68-53db90dd-1608253101441897981",,311.4500000000003,1608299903,0,1608253104,1608253104
"9483540f91-e3e12a6d-1608253103573294941",,281.96999999999935,1608299903,0,1608253104,1608253104
"9483540f91-e3e12a6d-1608253099118990986",,296.475,1608299900,0,1608253101,1608253101
"6d8d0a3f68-53db90dd-1608253097787036275",,334.69000000000005,1608299898,0,1608253099,1608253099
"6d8d0a3f68-53db90dd-1608253078555011825",,315.5499999999993,1608299880,0,1608253081,1608253081
"6d8d0a3f68-53db90dd-1608253074005731407",,306.3299999999999,1608299874,0,1608253075,1608253075
"6d8d0a3f68-53db90dd-1608253071376259266",,286.2400000000007,1608299871,0,1608253073,1608253073
"6d8d0a3f68-53db90dd-1608253068825475050",,298.23,1608299869,0,1608253071,1608253071
"6d8d0a3f68-53db90dd-1608253064651307701",,313.0500000000002,1608299865,0,1608253066,1608253066
"6d8d0a3f68-53db90dd-1608253058764993623",,307.3900000000003,1608299859,0,1608253060,1608253060
"6d8d0a3f68-53db90dd-1608253056106744386",,292.1800000000003,1608299856,0,1608253058,1608253058
"6d8d0a3f68-53db90dd-1608253039141475951",,294.3899999999999,1608299839,0,1608253040,1608253040
"6d8d0a3f68-53db90dd-1608253037636841633",,332.1100000000006,1608299837,0,1608253039,1608253039
"6d8d0a3f68-53db90dd-1608253038596313439",,297.72000000000025,1608299838,0,1608253039,1608253039
"6d8d0a3f68-53db90dd-1608253033704819582",,274.84000000000015,1608299835,0,1608253036,1608253036
"6d8d0a3f68-53db90dd-1608253019922764474",,294.52999999999975,1608299820,0,1608253022,1608253022
"6d8d0a3f68-53db90dd-1608253010212311735",,299.5899999999997,1608299811,0,1608253012,1608253012
"5b530d2eaf-be51a059-1608253010614284296",,297.9399999999998,1608299811,0,1608253012,1608253012
"6d8d0a3f68-53db90dd-1608252998796769614",,297.265,1608299799,0,1608253000,1608253000
"6d8d0a3f68-53db90dd-1608252997516929688",,295.59000000000015,1608299797,0,1608252998,1608252998
"6d8d0a3f68-53db90dd-1608252995769026485",,295.59999999999945,1608299796,0,1608252997,1608252997
"5b530d2eaf-be51a059-1608252986676651054",,300.98,1608299786,0,1608252987,1608252987
"6d8d0a3f68-53db90dd-1608252904846213908",,499.8800000000001,1608299705,0,1608252906,1608252906
"5b530d2eaf-be51a059-1608252842023266179",,300.8599999999997,1608299642,0,1608252843,1608252843
"5b530d2eaf-be51a059-1608252831439571100",,310.5500000000002,1608299631,0,1608252833,1608252833
"5b530d2eaf-be51a059-1608252805697007858",,316.35000000000036,1608299605,0,1608252806,1608252806
"5b530d2eaf-be51a059-1608252789373809079",,296.28,1608299589,0,1608252790,1608252790
"5b530d2eaf-be51a059-1608252783179958017",,299.92999999999995,1608299585,0,1608252787,1608252787
"5b530d2eaf-be51a059-1608252785668951348",,300.75,1608299585,0,1608252787,1608252787
"5b530d2eaf-be51a059-1608252770759761654",,297.6600000000001,1608299572,0,1608252773,1608252773
"5b530d2eaf-be51a059-1608252760589988348",,298.97000000000025,1608299561,0,1608252762,1608252762
"5b530d2eaf-be51a059-1608252729856070176",,300.2000000000003,1608299530,0,1608252731,1608252731
"5b530d2eaf-be51a059-1608252730079425640",,300.53999999999996,1608299530,0,1608252731,1608252731
